"X","cas_nakupu","produkt","cena","krajina","quartal","kategoria","kluc"
"1","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"2","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"3","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"4","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"5","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"6","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"7","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"8","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"9","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"10","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"11","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"12","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"13","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"14","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"15","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"16","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"17","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"18","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"19","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"20","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"21","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"22","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"23","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"24","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"25","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"26","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"27","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"28","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"29","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"30","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"31","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"32","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"33","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"34","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"35","Jan","Mobil","230","SK","Q1","Elektro","BA"
"36","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"37","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"38","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"39","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"40","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"41","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"42","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"43","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"44","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"45","Jan","Tablet","350","SK","Q1","Elektro","BA"
"46","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"47","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"48","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"49","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"50","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"51","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"52","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"53","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"54","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"55","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"56","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"57","Jan","Laptop","540","SK","Q1","Elektro","BA"
"58","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"59","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"60","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"61","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"62","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"63","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"64","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"65","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"66","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"67","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"68","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"69","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"70","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"71","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"72","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"73","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"74","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"75","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"76","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"77","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"78","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"79","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"80","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"81","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"82","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"83","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"84","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"85","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"86","Jan","Mobil","230","SK","Q1","Elektro","BA"
"87","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"88","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"89","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"90","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"91","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"92","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"93","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"94","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"95","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"96","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"97","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"98","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"99","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"100","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"101","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"102","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"103","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"104","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"105","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"106","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"107","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"108","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"109","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"110","Jan","Laptop","540","SK","Q1","Elektro","BA"
"111","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"112","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"113","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"114","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"115","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"116","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"117","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"118","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"119","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"120","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"121","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"122","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"123","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"124","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"125","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"126","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"127","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"128","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"129","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"130","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"131","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"132","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"133","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"134","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"135","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"136","Jan","Laptop","540","SK","Q1","Elektro","BA"
"137","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"138","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"139","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"140","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"141","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"142","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"143","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"144","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"145","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"146","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"147","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"148","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"149","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"150","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"151","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"152","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"153","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"154","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"155","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"156","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"157","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"158","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"159","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"160","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"161","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"162","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"163","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"164","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"165","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"166","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"167","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"168","Jan","Tablet","350","SK","Q1","Elektro","BA"
"169","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"170","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"171","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"172","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"173","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"174","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"175","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"176","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"177","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"178","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"179","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"180","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"181","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"182","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"183","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"184","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"185","Jan","Laptop","540","SK","Q1","Elektro","BA"
"186","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"187","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"188","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"189","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"190","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"191","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"192","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"193","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"194","Jan","Mobil","230","SK","Q1","Elektro","BA"
"195","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"196","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"197","Jan","Mobil","230","SK","Q1","Elektro","BA"
"198","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"199","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"200","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"201","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"202","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"203","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"204","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"205","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"206","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"207","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"208","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"209","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"210","Jan","Tablet","350","SK","Q1","Elektro","BA"
"211","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"212","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"213","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"214","Jan","Laptop","540","SK","Q1","Elektro","BA"
"215","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"216","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"217","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"218","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"219","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"220","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"221","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"222","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"223","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"224","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"225","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"226","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"227","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"228","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"229","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"230","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"231","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"232","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"233","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"234","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"235","Jan","Tablet","350","SK","Q1","Elektro","BA"
"236","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"237","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"238","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"239","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"240","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"241","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"242","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"243","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"244","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"245","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"246","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"247","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"248","Jan","Mobil","230","SK","Q1","Elektro","BA"
"249","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"250","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"251","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"252","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"253","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"254","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"255","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
